	medcodeid	observations	term	snomedctconceptid	Typei	Typeii	unknowntype/other
388	a292512019	2000	Diabetes mellitus NOS with neurological manifestation	422088007	0	0	1
389	a1627291000006113	2000	Did not complete DESMOND diabetes structured education programme	3.07E+14	0	0	1
390	a1223147012	2000	Insulin treated Type II diabetes mellitus	237599002	0	1	0
391	a8439971000006116	2000	Diabetes monitoring SMS (short message service) text message third invitation	1.07E+15	0	0	1
392	a906711000006116	2000	[RFC] Diabetic foot/leg ulcer	9.07E+14	0	0	1
393	a856631000006115	2000	Left laser treated diabetic retinopathy	8.57E+14	0	0	1
394	a293759015	2000	Diabetic renal disease	127013003	0	0	1
395	a19931010	2000	Brittle diabetes	11530004	0	0	1
396	a546071000000117	2000	Attended DAFNE diabetes structured education programme	3.06E+14	0	0	1
397	a546151000000110	2000	DAFNE diabetes structured education programme completed	3.06E+14	0	0	1
398	a2415191000000113	2000	Diabetic peripheral neuropathic pain	9.44E+14	0	0	1
399	a1704731000006113	2000	Excluded from diabetic retinopathy screening as under care of ophthalmologist	3.75E+14	0	0	1
400	a358036010	2000	Insulin site lipohypertrophy	238894004	0	0	1
401	a1488749011	2000	Diabetic monitoring not required	395049009	0	0	1
402	a1752811000000118	2000	No evidence of diabetic nephropathy	7.84E+14	0	0	1
403	a14083811000006118	2000	Persistent microalbuminuria due to type 2 diabetes mellitus	420715001	0	1	0
404	a283938017	2000	Diabetology D.V. done	183751004	0	0	1
405	a857741000006117	2000	Right diabetic foot moderate risk	8.58E+14	0	0	1
406	a15518018	2000	Secondary diabetes mellitus	8801005	0	0	1
407	a13488551000006115	2000	Nonproliferative retinopathy of right eye due to diabetes mellitus	816178004	0	0	1
408	a616921000006113	2000	Diabetic amyotrophy	39058009	0	0	1
409	a856681000006119	2000	Left diabetic foot moderate risk	8.57E+14	0	0	1
410	a857421000006119	2000	Right laser treated diabetic retinopathy	8.57E+14	0	0	1
411	a297510017	2000	Diabetic mononeuritis NOS	193141005	0	0	1
412	a856771000006110	2000	Patient has been told has diabetes	8.57E+14	0	0	1
413	a2465001000000115	2000	Diabetic injection administration education	9.68E+14	0	0	1
414	a13488541000006117	2000	Nonproliferative retinopathy of left eye due to diabetes mellitus	816177009	0	0	1
415	a547331000000115	1000	Did not complete diabetes structured education programme	3.07E+14	0	0	1
416	a938321000006116	1000	Exudative maculopathy associated with type 2 diabetes mellitus	421779007	0	1	0
417	a1583841000006111	1000	Ineligibility for diabetic eye screening	1.58E+15	0	0	1
418	a5192411000006114	1000	Diabetic monitoring status	243860001	0	0	1
419	a730471000000113	1000	Ineligible for diabetic retinopathy screening	3.72E+14	0	0	1
420	a1824931000006119	1000	Home visit for diabetes monitoring	1.82E+15	0	0	1
421	a1704801000006113	1000	Excluded from diabetic retinopathy screening as physical disorder	3.75E+14	0	0	1
422	a317347010	1000	[D]Gangrene of toe in diabetic	195302000	0	0	1
423	a881481000006117	1000	Diabetes + nephropathy	127013003	0	0	1
424	a881491000006119	1000	Diabetes + eye manifestation	25093002	0	0	1
425	a914071000006115	1000	Neurologic disorder associated with type 2 diabetes mellitus	421326000	0	1	0
426	a856531000006119	1000	Diabetic - GP eye check	8.57E+14	0	0	1
427	a914051000006113	1000	Disorder of eye with type 2 diabetes mellitus	422099009	0	1	0
428	a913841000006116	1000	Renal disorder associated with type 1 diabetes mellitus	421893009	1	0	0
429	a309737011	1000	Diabetic cheiroarthropathy	201723002	0	0	1
430	a841351000006110	1000	Insulin treated Type II diabetes mellitus	237599002	0	1	0
431	a284124018	1000	Private referral to diabetologist	183910005	0	0	1
432	a1780981000006115	1000	Diabetic on non-insulin injectable	1.78E+15	0	1	0
433	a278718015	1000	Continuous subcutaneous infusion of insulin	180178009	0	0	1
434	a616571000006118	1000	"Diabetes mellitus, adult, + other specified manifestation"	73211009	0	0	1
435	a616481000006119	1000	"Diabetes mellitus, adult onset, + neurological manifestation"	421326000	0	1	0
436	a494831000000119	1000	Diabetes mellitus associated with cystic fibrosis	426705001	0	0	1
437	a616641000006110	1000	"Diabetes mellitus, juvenile type, with ketoacidosis"	420270002	1	0	0
438	a2176771000000110	1000	Referral to community diabetes specialist nurse declined	8.39E+14	0	0	1
439	a345492010	1000	Diabetic mononeuropathy	230577008	0	0	1
440	a1996751000006117	1000	Insulin injection technique checked	2.00E+15	0	0	1
441	a2533106011	1000	Referral to diabetes preconception counselling clinic	415269004	0	0	1
442	a354509014	1000	Proteinuric diabetic nephropathy	236500003	0	0	1
443	a1223148019	1000	Insulin treated non-insulin dependent diabetes mellitus	237599002	0	1	0
444	a2378231000000112	1000	Discharge from secondary care diabetes service	9.28E+14	0	0	1
445	a7107831000006117	1000	Diabetic education completed	429729007	0	0	1
446	a6615341000006112	1000	Diabetic monitoring - injection sites normal	398985007	0	0	1
447	a1488898011	1000	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	395204000	0	1	0
448	a8286801000006115	1000	Education about diabetic neuropathy	8.47E+14	0	0	1
449	a84481000006116	1000	Type 2 diabetes mellitus - poor control	443694000	0	1	0
450	a7567371000006117	1000	Diabetic retinopathy clinic	702850009	0	0	1
451	a2014951000006115	1000	New diabetic foot ulcer	2.01E+15	0	0	1
452	a4938911000006118	1000	Insulin regime	225302006	0	0	1
453	a292579018	1000	Type 2 diabetes mellitus with ulcer	190389009	0	1	0
454	a292479016	1000	Diabetes mellitus NOS with ketoacidosis	420422005	1	0	0
455	a2586691000000116	1000	Under care of hospital-based diabetes specialist nurse	1.02E+15	0	0	1
456	a292553010	1000	Type 1 diabetes mellitus maturity onset	190372001	1	0	0
457	a292548017	1000	Type 1 diabetes mellitus - poor control	444073006	1	0	0
458	a292496015	1000	Diabetes mellitus with nephropathy NOS	127013003	0	0	1
459	a14079681000006115	900	Nonproliferative retinopathy due to diabetes mellitus	390834004	0	0	1
460	a913541000006118	900	Type 1 diabetes mellitus with multiple complications	422228004	1	0	0
461	a198461000000116	900	Diabetes mellitus associated with pancreatic disease	51002006	0	0	1
462	a455408014	900	Advanced diabetic retinal disease	311782002	0	0	1
463	a8064411000006119	900	Diabetic with adequate control	2.04E+14	0	0	1
464	a736731000000118	900	Excluded from diabetic retinopathy screening as moved away	3.75E+14	0	0	1
465	a13916191000006119	900	Insulin dose	789480007	0	0	1
466	a457330012	900	Type II diabetes mellitus without complication	313436004	0	1	0
467	a914241000006118	800	Polyneuropathy due to type 2 diabetes mellitus	713706002	0	1	0
